genres,avaliacoes_positivas_percentual,concorrentes
Adventure;Indie;RPG;Strategy,75.22179770,87
Nudity;Adventure,75.02975000,4
Indie,75.02918430,707
Action;Adventure;Casual;RPG;Simulation,75.00000000,1
"Action;Adventure;Casual;Indie;Massively Multiplayer;Simulation;Early Access",75.00000000,1
Casual;Indie;Education,75.00000000,1
Nudity;Violent;Action;Indie;RPG,75.00000000,1
"Sexual Content;Violent;Gore;Action;Adventure;Casual;Indie;RPG;Strategy",75.00000000,1
Action;Casual;Racing;Simulation;Sports,75.00000000,2
"Violent;Indie;Strategy;Early Access",75.00000000,1
Action;Adventure;Indie;Racing;RPG,75.00000000,1
"Action;Adventure;Indie;Massively Multiplayer;RPG",74.95802500,12
"Action;Indie;Strategy;Early Access",74.91847174,46
Action;Adventure;Strategy,74.85793750,24
"Sexual Content;Nudity;Indie",74.84466667,3
Gore;Adventure,74.81345000,2
Action;Indie;RPG;Strategy,74.80500811,37
"Sexual Content;Nudity;Casual;Indie;RPG",74.76427500,4
Action;RPG,74.65833438,96
Action;Indie;RPG,74.64382990,194
Violent;Gore;Action;Indie;Strategy,74.58770000,3
Action;Adventure;Indie;Racing,74.58680526,19
"Sexual Content;Violent;Gore;Adventure;Indie;Early Access",74.54550000,1
Adventure;Indie;RPG,74.52018379,438
Violent;Adventure,74.43172222,9
"Indie;Early Access",74.42072364,55
Action;Casual;Indie,74.38445240,981
"Adventure;Indie;Early Access",74.37145094,53
"Sexual Content;Nudity;Indie;Simulation",74.37040000,1
Violent;Adventure;Indie;Simulation,74.33260000,1
"Action;Adventure;Indie;Massively Multiplayer;Racing;Simulation",74.28570000,1
"Sexual Content;Nudity;Adventure;Casual;Indie;RPG",74.21055000,2
Action,74.13551466,798
Action;RPG;Simulation,74.09635000,6
Violent;Action;Casual;Indie;Simulation;Strategy,74.07410000,1
Violent;Adventure;RPG,74.07410000,1
"Sports;Early Access",74.03042222,9
"Sexual Content;Nudity;Action;Adventure;Indie;RPG",73.95835000,2
Action;Casual;Indie;Racing;Sports,73.93541250,16
Violent;Adventure;Casual;Simulation,73.85965000,2
Adventure;Casual;RPG,73.85301667,12
