publisher,paginas_suporte_por_publisher,jogos_lancados,faturamento_min,suporte_por_jogo
"LucasArts;Lucasfim;Disney Interactive",1,1,1438000,1.0000
Funcom,8,9,1399000,0.8889
"Iceberg Interactive",32,38,1398000,0.8421
"Broken Rules",4,4,1398000,1.0000
PikPok,2,2,1398000,1.0000
"ACE Team",1,1,1398000,1.0000
"Bit Blot, LLC",1,1,1398000,1.0000
Subsoap,3,3,1398000,1.0000
"Arcen Games, LLC",11,11,1398000,1.0000
"inXile Entertainment",5,7,1398000,0.7143
"Vanguard Entertainment Group",1,1,1398000,1.0000
"Big Sandwich Games",1,1,1398000,1.0000
"Gaijin Games",7,7,1398000,1.0000
"Eyebrow Interactive",2,2,1398000,1.0000
"Next Dimension Game Adventures Ltd.",2,2,1398000,1.0000
Murudai,1,1,1398000,1.0000
"Q-Games Ltd.",3,3,1398000,1.0000
"Days of Wonder;Asmodee Digital",4,4,1398000,1.0000
"Spiderweb Software",14,15,1398000,0.9333
"Retro Affect",1,1,1398000,1.0000
"BlinkWorks Media",1,1,1398000,1.0000
"Misfits Attic",2,2,1398000,1.0000
"Gaijin Entertainment Corporation",1,1,1398000,1.0000
"Curve Digital",20,21,1398000,0.9524
"Spooky Squid Games Inc.",1,2,1398000,0.5000
Marvelous,4,4,1398000,1.0000
"Twisted Tree",1,1,1398000,1.0000
"Exor Studios",2,2,1398000,1.0000
"Radial Games Corp",2,2,1398000,1.0000
"Tiger Style",2,2,1398000,1.0000
Threaks,2,2,1398000,1.0000
"Shiro Games",3,4,1398000,0.7500
"Toxic Games",1,1,1398000,1.0000
"Double Eleven",5,5,1398000,1.0000
"Ironhide Game Studio",2,3,1398000,0.6667
"Vertigo Gaming Inc.",3,5,1398000,0.6000
"Rain Games",2,2,1398000,1.0000
MangaGamer,24,42,1398000,0.5714
"Blue Isle Studios",3,3,1398000,1.0000
"Wizards of the Coast",1,1,1398000,1.0000
"H2 Interactive Co., Ltd.",10,10,1398000,1.0000
"Interdimensional Games Inc",1,2,1398000,0.5000
Frogmind,1,1,1398000,1.0000
"82 Apps",1,1,1398000,1.0000
"DiggerWorld Ltd.",1,1,1398000,1.0000
"Schell Games",5,6,1398000,0.8333
"KISS ltd;Holy Warp",1,1,1398000,1.0000
"Akupara Games",4,6,1398000,0.6667
"Over The Moon",2,2,1398000,1.0000
"Everything Unlimited Ltd.",1,1,1398000,1.0000
"Ninja Kiwi",2,6,1398000,0.3333
"Winged Cloud",15,21,1398000,0.7143
"Tasharen Entertainment Inc.",1,2,1398000,0.5000
Rubycone,2,2,1398000,1.0000
"Hovgaard Games",0,1,1398000,0.0000
"SixtyGig Games",1,1,1398000,1.0000
"Dingaling Productions, LLC",1,1,1398000,1.0000
"INNOTEG LLC",1,1,1398000,1.0000
Flazm,3,4,1398000,0.7500
"Zero Point Software",1,1,1390000,1.0000
Boxelware,1,1,1359000,1.0000
"Polymorph Games",0,1,1349500,0.0000
"Cyan Worlds ",1,1,1299000,1.0000
"Aleksey Abramenko",1,1,1298000,1.0000
"Behaviour Digital Inc.",2,2,1249500,1.0000
"Oxymoron Games",0,1,1249500,0.0000
"Wired Productions",1,1,1249500,1.0000
"Warner Bros. Interactive;Feral Interactive (Mac)",0,1,1249500,0.0000
"Empty Clip Studios",1,2,1238000,0.5000
"IonFX Studios",1,1,1199000,1.0000
"QCF Design",1,1,1199000,1.0000
"Junkfish Limited",1,2,1199000,0.5000
"Sierra;Activision;Aspyr (Mac, Linux)",1,1,1199000,1.0000
"Dumativa Creative Studio;Castro Brothers",1,1,1199000,1.0000
"BKOM Studios",0,1,1199000,0.0000
"Chronic Logic",2,2,1198000,1.0000
"Hothead Games",3,3,1198000,1.0000
Alientrap,7,7,1198000,1.0000
SkyGoblin,3,3,1198000,1.0000
"Night Node",1,1,1198000,1.0000
"Adriaan de Jongh",1,1,1198000,1.0000
"Perfuse Entertainment",1,1,1198000,1.0000
"Campfire Games",1,1,1189500,1.0000
Holospark,2,5,1189500,0.4000
Reiza,1,1,1149500,1.0000
"Strategy First",117,136,1149500,0.8603
"Camshaft Software",1,1,1149500,1.0000
"Iron Tower Studio",2,2,1139000,1.0000
"Blue Bottle Games",1,1,1139000,1.0000
"Knuckle Cracker",4,4,1139000,1.0000
"Kitfox Games",3,3,1139000,1.0000
"Butterscotch Shenanigans",1,2,1139000,0.5000
Mixtvision,0,1,1139000,0.0000
"Rebuilt Games",0,1,1139000,0.0000
bilibili,0,1,1129000,0.0000
"What Pumpkin Games, Inc.",0,2,1118000,0.0000
"Unigine Corp.",1,1,1118000,1.0000
"bitComposer Games",2,2,1118000,1.0000
"SuperVillain Studios",1,1,1118000,1.0000
"Reverb Triple XP;Circle 5",1,1,1118000,1.0000
"Animu Game",2,3,1118000,0.6667
"Omni Systems",1,1,1099000,1.0000
"505 Games",21,26,1099000,0.8077
"SNK CORPORATION",15,19,1099000,0.7895
"Metanet Software Inc.",1,1,1099000,1.0000
"Ghostlight LTD",11,15,1099000,0.7333
Untame,1,1,1099000,1.0000
"Witch Beam",1,1,1099000,1.0000
"Infinitap Games",1,1,1099000,1.0000
"Glass Bottom Games",2,3,1099000,0.6667
"Pixel Ferrets",1,1,1099000,1.0000
"Midnight City ;Majesco Entertainment",1,1,1099000,1.0000
"Atari;RCTO Productions",1,1,1099000,1.0000
RageSquid,1,1,1099000,1.0000
Zojoi,7,7,1099000,1.0000
"Freehold Games",2,2,1099000,1.0000
"Nuke Nine",1,1,1099000,1.0000
"Cornfox & Bros.",1,1,1099000,1.0000
"Guy Godin",1,1,1099000,1.0000
Petroglyph,4,4,1099000,1.0000
AtomTeam,1,1,1099000,1.0000
"Eek! Games, LLC",0,1,1099000,0.0000
"Bare Mettle Entertainment",1,1,1099000,1.0000
JIW-Games,1,1,1099000,1.0000
